tube_id,layer_id,sector_id,x,y,z,inner_radius,outer_radius,tube_length,angle,skewed
1,0,0,-2.62406,17.675,35,0.5,0.501,150,0,0
2,0,0,-3.49874,17.17,35,0.5,0.501,150,0,0
3,0,0,-4.37343,16.665,35,0.5,0.501,150,0,0
4,0,0,-5.24811,16.16,35,0.5,0.501,150,0,0
5,0,0,-6.1228,15.655,35,0.5,0.501,150,0,0
6,0,0,-6.99749,15.15,35,0.5,0.501,150,0,0
7,0,0,-7.87217,14.645,35,0.5,0.501,150,0,0
8,0,0,-8.74686,14.14,35,0.5,0.501,150,0,0
9,0,0,-9.62154,13.635,35,0.5,0.501,150,0,0
10,0,0,-10.4962,13.13,35,0.5,0.501,150,0,0
11,0,0,-11.3709,12.625,35,0.5,0.501,150,0,0
12,0,0,-12.2456,12.12,35,0.5,0.501,150,0,0
13,0,0,-13.1203,11.615,35,0.5,0.501,150,0,0
14,0,0,-13.995,11.11,35,0.5,0.501,150,0,0
15,0,0,-14.8697,10.605,35,0.5,0.501,150,0,0
16,0,0,-15.7443,10.1,35,0.5,0.501,150,0,0
17,0,0,-16.619,9.595,35,0.5,0.501,150,0,0
18,0,1,-16.619,8.585,35,0.5,0.501,150,0,0
19,0,1,-16.619,7.575,35,0.5,0.501,150,0,0
20,0,1,-16.619,6.565,35,0.5,0.501,150,0,0
21,0,1,-16.619,5.555,35,0.5,0.501,150,0,0
22,0,1,-16.619,4.545,35,0.5,0.501,150,0,0
23,0,1,-16.619,3.535,35,0.5,0.501,150,0,0
24,0,1,-16.619,2.525,35,0.5,0.501,150,0,0
25,0,1,-16.619,1.515,35,0.5,0.501,150,0,0
26,0,1,-16.619,0.505,35,0.5,0.501,150,0,0
27,0,1,-16.619,-0.505,35,0.5,0.501,150,0,0
28,0,1,-16.619,-1.515,35,0.5,0.501,150,0,0
29,0,1,-16.619,-2.525,35,0.5,0.501,150,0,0
30,0,1,-16.619,-3.535,35,0.5,0.501,150,0,0
31,0,1,-16.619,-4.545,35,0.5,0.501,150,0,0
32,0,1,-16.619,-5.555,35,0.5,0.501,150,0,0
33,0,1,-16.619,-6.565,35,0.5,0.501,150,0,0
34,0,1,-16.619,-7.575,35,0.5,0.501,150,0,0
35,0,1,-16.619,-8.585,35,0.5,0.501,150,0,0
36,0,2,-16.619,-9.595,35,0.5,0.501,150,0,0
37,0,2,-15.7443,-10.1,35,0.5,0.501,150,0,0
38,0,2,-14.8697,-10.605,35,0.5,0.501,150,0,0
39,0,2,-13.995,-11.11,35,0.5,0.501,150,0,0
40,0,2,-13.1203,-11.615,35,0.5,0.501,150,0,0
41,0,2,-12.2456,-12.12,35,0.5,0.501,150,0,0
42,0,2,-11.3709,-12.625,35,0.5,0.501,150,0,0
43,0,2,-10.4962,-13.13,35,0.5,0.501,150,0,0
44,0,2,-9.62154,-13.635,35,0.5,0.501,150,0,0
45,0,2,-8.74686,-14.14,35,0.5,0.501,150,0,0
46,0,2,-7.87217,-14.645,35,0.5,0.501,150,0,0
47,0,2,-6.99749,-15.15,35,0.5,0.501,150,0,0
48,0,2,-6.1228,-15.655,35,0.5,0.501,150,0,0
49,0,2,-5.24811,-16.16,35,0.5,0.501,150,0,0
50,0,2,-4.37343,-16.665,35,0.5,0.501,150,0,0
51,0,2,-3.49874,-17.17,35,0.5,0.501,150,0,0
52,0,2,-2.62406,-17.675,35,0.5,0.501,150,0,0
53,0,3,2.62406,-17.675,35,0.5,0.501,150,0,0
54,0,3,3.49874,-17.17,35,0.5,0.501,150,0,0
55,0,3,4.37343,-16.665,35,0.5,0.501,150,0,0
56,0,3,5.24811,-16.16,35,0.5,0.501,150,0,0
57,0,3,6.1228,-15.655,35,0.5,0.501,150,0,0
58,0,3,6.99749,-15.15,35,0.5,0.501,150,0,0
59,0,3,7.87217,-14.645,35,0.5,0.501,150,0,0
60,0,3,8.74686,-14.14,35,0.5,0.501,150,0,0
61,0,3,9.62154,-13.635,35,0.5,0.501,150,0,0
62,0,3,10.4962,-13.13,35,0.5,0.501,150,0,0
63,0,3,11.3709,-12.625,35,0.5,0.501,150,0,0
64,0,3,12.2456,-12.12,35,0.5,0.501,150,0,0
65,0,3,13.1203,-11.615,35,0.5,0.501,150,0,0
66,0,3,13.995,-11.11,35,0.5,0.501,150,0,0
67,0,3,14.8697,-10.605,35,0.5,0.501,150,0,0
68,0,3,15.7443,-10.1,35,0.5,0.501,150,0,0
69,0,3,16.619,-9.595,35,0.5,0.501,150,0,0
70,0,4,16.619,-8.585,35,0.5,0.501,150,0,0
71,0,4,16.619,-7.575,35,0.5,0.501,150,0,0
72,0,4,16.619,-6.565,35,0.5,0.501,150,0,0
73,0,4,16.619,-5.555,35,0.5,0.501,150,0,0
74,0,4,16.619,-4.545,35,0.5,0.501,150,0,0
75,0,4,16.619,-3.535,35,0.5,0.501,150,0,0
76,0,4,16.619,-2.525,35,0.5,0.501,150,0,0
77,0,4,16.619,-1.515,35,0.5,0.501,150,0,0
78,0,4,16.619,-0.505,35,0.5,0.501,150,0,0
79,0,4,16.619,0.505,35,0.5,0.501,150,0,0
80,0,4,16.619,1.515,35,0.5,0.501,150,0,0
81,0,4,16.619,2.525,35,0.5,0.501,150,0,0
82,0,4,16.619,3.535,35,0.5,0.501,150,0,0
